gm_code,gm_naam,sted,aant_inw,opp_land,g_gas_tot_2010,g_gas_tot_2011,g_gas_tot_2012,g_gas_tot_2013,g_gas_tot_2014,p_stad_ver_2010,p_stad_ver_2011,p_stad_ver_2012,p_stad_ver_2013,p_stad_ver_2014
GM0397,Heemstede,2,26766,918,2350,1800,1850,2050,1550, , , , ,
GM0398,Heerhugowaard,2,53927,3828,1600,1250,1300,1400,1050,10,10,9.9,10.1,9.7
GM0399,Heiloo,3,22689,1870,2200,1750,1850,1900,1450, , ,0,0,0
GM0400,Den Helder,2,56275,4510,1750,1400,1500,1600,1200, , , , ,
GM0402,Hilversum,1,87830,4561,2100,1700,1750,1900,1400, , ,0,0,0
GM0405,Hoorn,2,72172,2036,1700,1350,1400,1500,1150, , , , ,
GM0406,Huizen,2,41373,1581,2000,1550,1650,1750,1300, , , , ,
GM0415,Landsmeer,4,10977,2253,2150,1700,1800,1900,1450, , , , ,
GM0416,Langedijk,4,27447,2390,1850,1450,1550,1650,1200,9,9,8.5,8.7,8.3
GM0417,Laren,3,10956,1241,3100,2400,2600,2800,2050, , , , ,
GM0420,Medemblik,4,43725,12145,2150,1650,1750,1850,1400, , , , ,
GM0431,Oostzaan,3,9504,1153,2000,1600,1650,1750,1300, , , , ,
GM0432,Opmeer,4,11336,4152,2100,1650,1750,1850,1400, , , , ,
GM0437,Ouder-Amstel,3,13411,2408,1900,1550,1600,1650,1200, , , , ,
GM0439,Purmerend,2,79889,2319,550,400,450,450,350,71,70,71.2,71.4,70
GM0441,Schagen,4,46159,16773,1850,1450,1450,1800,1350, , ,0,0,0
GM0448,Texel,5,13574,16218,2100,1650,1800,1850,1400, , , , ,
GM0450,Uitgeest,3,13360,1917,1900,1550,1600,1650,1250, , , , ,
GM0451,Uithoorn,3,29181,1822,1800,1400,1450,1500,1200, , ,0,0,0
GM0453,Velsen,2,67448,4480,1800,1400,1500,1600,1200, , , , ,
GM0457,Weesp,2,18572,2280,1600,1250,1350,1400,1050, , , , ,
